age,gender,isMarried,race,religion,color,priceRange,district,imagePath
30-35,male,true,Tamil,Hindu,Cream,0-2000,Kandy,4
20-25,male,false,Sinhala,Buddhism,Yellow,0-2000,Kurunegala,2
20-25,male,false,Sinhala,Buddhism,Brown,0-2000,Kurunegala,1
20-25,male,false,Sinhala,Buddhism,Brown,0-2000,Kurunegala,1
20-25,male,false,Sinhala,Buddhism,Yellow,0-2000,Kurunegala,2
25-30,male,true,Sinhala,Buddhism,Cream,0-2000,Gampaha,4
25-30,male,true,Sinhala,Catholic,Black,2000-4000,Kalutara,8
20-25,male,false,Tamil,Catholic,Blue,2000-4000,Gampaha,5
30-35,female,true,Tamil,Hindu,Gray,4000-6000,Kandy,21
30-35,female,false,Sinhala,Buddhism,Gray,4000-6000,Gampaha,21
25-30,female,true,Sinhala,Buddhism,Gray,4000-6000,Colombo,21
30-35,male,true,Sinhala,Buddhism,Blue,2000-4000,Colombo,10
30-35,male,true,Tamil,Hindu,Cream,2000-4000,Gampaha,3
30-35,female,false,Muslim,Islam,Gray,2000-4000,Gampaha,23
25-30,male,true,Sinhala,Buddhism,Cream,0-2000,Colombo,4
30-35,male,true,Tamil,Hindu,Cream,0-2000,Kurunegala,4
20-25,male,false,Sinhala,Catholic,Brown,0-2000,Kurunegala,1
30-35,male,true,Sinhala,Buddhism,Blue,2000-4000,Kurunegala,10
30-35,male,true,Sinhala,Buddhism,Blue,2000-4000,Kandy,10
20-25,male,false,Sinhala,Buddhism,Brown,0-2000,Kalutara,1
30-35,female,false,Tamil,Hindu,Gray,4000-6000,Kurunegala,21
25-30,male,true,Sinhala,Buddhism,Black,2000-4000,Kalutara,8
30-35,male,true,Sinhala,Buddhism,Blue,2000-4000,Colombo,10
30-35,male,true,Tamil,Hindu,Cream,2000-4000,Kalutara,3
20-25,male,false,Tamil,Hindu,Blue,2000-4000,Colombo,5
20-25,male,false,Tamil,Catholic,Yellow,0-2000,Colombo,2
20-25,female,true,Sinhala,Buddhism,Brown,0-2000,Gampaha,16
20-25,male,false,Tamil,Hindu,Blue,4000-6000,Kandy,7
25-30,male,true,Sinhala,Buddhism,Cream,0-2000,Gampaha,4
20-25,male,true,Tamil,Catholic,Yellow,0-2000,Kurunegala,2
20-25,male,false,Tamil,Hindu,Blue,4000-6000,Gampaha,7
20-25,female,true,Sinhala,Catholic,Brown,0-2000,Kurunegala,16
25-30,female,true,Tamil,Hindu,Blue,6000-8000,Kalutara,20
20-25,female,true,Sinhala,Buddhism,Brown,0-2000,Colombo,16
20-25,male,false,Sinhala,Catholic,Blue,2000-4000,Colombo,5
25-30,male,true,Sinhala,Catholic,Black,2000-4000,Kandy,9
20-25,male,false,Sinhala,Buddhism,Brown,0-2000,Kalutara,1
25-30,female,false,Sinhala,Catholic,Brown,2000-4000,Kalutara,19
