age,gender,isMarried,race,religion,priceRange,district,imagePath
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,1
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,11
20-25,male,false,Tamil,Catholic,0-2000,Gampaha,17
20-25,male,false,Tamil,Hindu,0-2000,Kurunegala,7
20-25,male,false,Sinhala,Catholic,0-2000,Kurunegala,9
20-25,male,false,Tamil,Hindu,0-2000,Kalutara,20
25-30,male,false,Tamil,Hindu,0-2000,Kalutara,10
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,13
20-25,male,false,Tamil,Catholic,0-2000,Kalutara,10
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,21
20-25,male,false,Sinhala,Buddhism,0-2000,Gampaha,10
20-25,male,false,Sinhala,Buddhism,0-2000,Kurunegala,11
20-25,male,false,Tamil,Catholic,0-2000,Colombo,12
20-25,male,false,Sinhala,Catholic,0-2000,Kurunegala,5
20-25,male,false,Tamil,Hindu,0-2000,Kandy,7
20-25,male,false,Tamil,Catholic,0-2000,Kurunegala,3
20-25,male,false,Tamil,Hindu,0-2000,Kandy,6
20-25,male,true,Sinhala,Buddhism,0-2000,Colombo,12
25-30,male,false,Tamil,Catholic,0-2000,Colombo,10
20-25,female,true,Sinhala,Catholic,0-2000,Kandy,23
20-25,male,false,Sinhala,Buddhism,0-2000,Kurunegala,15
25-30,female,true,Tamil,Hindu,0-2000,Kandy,23
25-30,male,false,Tamil,Hindu,0-2000,Kandy,2
25-30,female,false,Tamil,Hindu,0-2000,Kurunegala,24
25-30,male,false,Tamil,Hindu,0-2000,Kalutara,17
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,17
25-30,male,true,Sinhala,Buddhism,0-2000,Kalutara,50
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,28
30-35,female,false,Tamil,Hindu,2000-4000,Kurunegala,56
20-25,male,true,Tamil,Hindu,0-2000,Kurunegala,8
30-35,male,true,Sinhala,Buddhism,0-2000,Kandy,49
25-30,male,false,Tamil,Hindu,0-2000,Kalutara,10
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,17
30-35,female,false,Tamil,Hindu,2000-4000,Kalutara,58
30-35,female,true,Tamil,Hindu,0-2000,Gampaha,31
30-35,male,true,Sinhala,Buddhism,2000-4000,Kurunegala,43
20-25,male,false,Sinhala,Catholic,0-2000,Kurunegala,1
30-35,female,true,Tamil,Hindu,2000-4000,Kandy,60
20-25,female,false,Sinhala,Buddhism,0-2000,Colombo,25
25-30,male,true,Sinhala,Buddhism,0-2000,Kalutara,50
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,27
25-30,female,false,Sinhala,Buddhism,0-2000,Kalutara,31
25-30,male,false,Tamil,Hindu,0-2000,Kurunegala,18
25-30,female,true,Sinhala,Buddhism,2000-4000,Kandy,56
20-25,female,true,Sinhala,Catholic,0-2000,Colombo,24
20-25,female,false,Muslim,Islam,2000-4000,Gampaha,67
25-30,female,true,Sinhala,Buddhism,0-2000,Gampaha,37
25-30,female,false,Sinhala,Buddhism,0-2000,Kandy,34
20-25,male,true,Sinhala,Buddhism,0-2000,Kandy,5
30-35,female,true,Tamil,Hindu,0-2000,Colombo,33
25-30,female,false,Tamil,Hindu,2000-4000,Kandy,55
30-35,female,false,Tamil,Hindu,0-2000,Colombo,32
20-25,female,true,Muslim,Islam,2000-4000,Kalutara,65
30-35,female,false,Sinhala,Buddhism,2000-4000,Kandy,61
30-35,female,false,Muslim,Islam,2000-4000,Colombo,68
25-30,male,false,Tamil,Hindu,0-2000,Kurunegala,2
20-25,female,true,Sinhala,Catholic,0-2000,Gampaha,21
25-30,female,true,Sinhala,Buddhism,0-2000,Kurunegala,31
30-35,female,true,Sinhala,Buddhism,2000-4000,Colombo,60
30-35,female,false,Tamil,Hindu,2000-4000,Colombo,61
20-25,female,true,Muslim,Islam,2000-4000,Colombo,67
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,17
20-25,male,true,Sinhala,Buddhism,0-2000,Kurunegala,19
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,6
25-30,female,true,Sinhala,Buddhism,0-2000,Gampaha,38
20-25,male,false,Sinhala,Buddhism,0-2000,Kurunegala,20
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,20
25-30,female,true,Sinhala,Catholic,0-2000,Colombo,35
25-30,female,true,Tamil,Hindu,0-2000,Gampaha,24
20-25,male,false,Tamil,Catholic,0-2000,Kalutara,17
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,2
30-35,male,true,Sinhala,Buddhism,0-2000,Kurunegala,47
25-30,male,true,Sinhala,Buddhism,0-2000,Gampaha,50
25-30,female,true,Tamil,Hindu,0-2000,Colombo,23
20-25,male,false,Sinhala,Buddhism,0-2000,Kurunegala,11
25-30,female,false,Tamil,Hindu,2000-4000,Kalutara,61
30-35,female,false,Tamil,Hindu,2000-4000,Kalutara,59
30-35,female,false,Sinhala,Buddhism,2000-4000,Colombo,55
25-30,female,true,Muslim,Islam,2000-4000,Colombo,71
30-35,male,true,Sinhala,Catholic,2000-4000,Gampaha,42
30-35,female,false,Tamil,Hindu,2000-4000,Gampaha,58
30-35,male,true,Sinhala,Buddhism,2000-4000,Kandy,42
25-30,female,false,Muslim,Islam,2000-4000,Kalutara,70
30-35,female,false,Sinhala,Buddhism,2000-4000,Kandy,56
30-35,male,true,Sinhala,Buddhism,0-2000,Gampaha,46
20-25,male,false,Tamil,Hindu,0-2000,Kalutara,20
25-30,female,false,Tamil,Hindu,2000-4000,Kurunegala,60
20-25,female,true,Sinhala,Buddhism,0-2000,Gampaha,28
30-35,female,false,Tamil,Hindu,0-2000,Kurunegala,33
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,30
20-25,female,true,Sinhala,Catholic,0-2000,Kurunegala,21
20-25,female,true,Sinhala,Catholic,0-2000,Kandy,29
30-35,female,true,Tamil,Hindu,2000-4000,Kandy,60
30-35,female,true,Tamil,Hindu,0-2000,Colombo,35
30-35,female,false,Muslim,Islam,2000-4000,Kandy,67
20-25,male,true,Tamil,Hindu,0-2000,Kalutara,7
25-30,male,false,Tamil,Catholic,0-2000,Kurunegala,16
30-35,male,true,Sinhala,Buddhism,0-2000,Colombo,49
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,44
25-30,male,false,Tamil,Hindu,0-2000,Kalutara,13
30-35,male,true,Sinhala,Buddhism,2000-4000,Kandy,51
20-25,male,false,Tamil,Hindu,0-2000,Kurunegala,7
20-25,female,false,Sinhala,Catholic,0-2000,Colombo,29
25-30,female,true,Sinhala,Catholic,0-2000,Kandy,31
30-35,female,true,Tamil,Hindu,2000-4000,Colombo,54
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,13
30-35,male,true,Sinhala,Buddhism,0-2000,Colombo,50
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,7
30-35,male,true,Sinhala,Buddhism,0-2000,Kalutara,50
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,28
30-35,female,true,Tamil,Hindu,0-2000,Kandy,34
30-35,female,true,Tamil,Hindu,0-2000,Kurunegala,38
20-25,male,false,Tamil,Hindu,0-2000,Gampaha,5
30-35,female,false,Sinhala,Buddhism,2000-4000,Kandy,60
25-30,female,false,Sinhala,Buddhism,0-2000,Gampaha,36
25-30,female,true,Sinhala,Buddhism,2000-4000,Colombo,57
30-35,male,true,Sinhala,Catholic,2000-4000,Kalutara,43
20-25,female,true,Sinhala,Catholic,0-2000,Gampaha,27
25-30,female,true,Sinhala,Buddhism,0-2000,Kandy,34
30-35,female,false,Muslim,Islam,2000-4000,Kurunegala,68
30-35,male,true,Sinhala,Buddhism,0-2000,Gampaha,47
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,11
30-35,male,true,Sinhala,Buddhism,0-2000,Gampaha,49
20-25,male,true,Sinhala,Buddhism,0-2000,Colombo,17
30-35,female,false,Tamil,Hindu,2000-4000,Colombo,61
20-25,male,false,Sinhala,Catholic,0-2000,Gampaha,14
30-35,female,false,Tamil,Hindu,2000-4000,Gampaha,63
20-25,male,false,Sinhala,Catholic,0-2000,Gampaha,5
20-25,male,false,Tamil,Catholic,0-2000,Kurunegala,2
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,21
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,52
25-30,female,false,Sinhala,Buddhism,0-2000,Kalutara,31
30-35,female,false,Tamil,Hindu,0-2000,Colombo,37
25-30,female,false,Sinhala,Buddhism,2000-4000,Kandy,63
30-35,female,true,Tamil,Hindu,0-2000,Kalutara,35
25-30,female,true,Sinhala,Catholic,0-2000,Kandy,35
25-30,female,false,Sinhala,Buddhism,2000-4000,Gampaha,56
25-30,female,true,Sinhala,Buddhism,0-2000,Kalutara,39
20-25,male,true,Tamil,Catholic,0-2000,Colombo,6
25-30,female,false,Tamil,Hindu,2000-4000,Colombo,56
25-30,female,true,Tamil,Hindu,0-2000,Kandy,29
20-25,male,false,Tamil,Hindu,0-2000,Colombo,3
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,44
25-30,female,true,Muslim,Islam,2000-4000,Colombo,71
25-30,female,true,Tamil,Hindu,2000-4000,Kurunegala,56
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,45
30-35,male,true,Sinhala,Buddhism,2000-4000,Colombo,51
20-25,male,false,Sinhala,Catholic,0-2000,Colombo,1
20-25,female,false,Muslim,Islam,2000-4000,Gampaha,64
25-30,female,false,Sinhala,Catholic,0-2000,Gampaha,36
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,25
20-25,female,false,Muslim,Islam,2000-4000,Gampaha,65
30-35,female,false,Muslim,Islam,2000-4000,Colombo,66
30-35,male,true,Sinhala,Buddhism,2000-4000,Kurunegala,44
30-35,female,true,Muslim,Islam,2000-4000,Gampaha,65
25-30,male,false,Tamil,Catholic,0-2000,Gampaha,19
30-35,male,true,Sinhala,Buddhism,2000-4000,Kalutara,53
20-25,male,false,Tamil,Hindu,0-2000,Colombo,10
20-25,female,true,Muslim,Islam,2000-4000,Colombo,67
30-35,female,false,Tamil,Hindu,2000-4000,Colombo,58
25-30,female,true,Sinhala,Buddhism,0-2000,Colombo,34
25-30,female,false,Sinhala,Buddhism,0-2000,Gampaha,35
30-35,male,true,Sinhala,Buddhism,0-2000,Kurunegala,48
20-25,female,true,Sinhala,Buddhism,0-2000,Kurunegala,27
20-25,male,true,Tamil,Hindu,0-2000,Gampaha,8
25-30,female,false,Muslim,Islam,2000-4000,Kandy,70
25-30,female,true,Sinhala,Buddhism,2000-4000,Kalutara,54
20-25,male,true,Tamil,Catholic,0-2000,Kalutara,11
25-30,female,true,Sinhala,Buddhism,0-2000,Kurunegala,31
20-25,male,false,Tamil,Hindu,0-2000,Colombo,17
30-35,female,false,Sinhala,Buddhism,2000-4000,Kandy,59
20-25,male,false,Tamil,Catholic,0-2000,Kandy,12
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,14
25-30,male,true,Sinhala,Buddhism,2000-4000,Kurunegala,53
30-35,female,false,Sinhala,Buddhism,2000-4000,Kandy,61
25-30,female,false,Sinhala,Buddhism,2000-4000,Kalutara,63
30-35,male,true,Sinhala,Buddhism,0-2000,Colombo,49
20-25,male,false,Tamil,Catholic,0-2000,Gampaha,14
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,53
30-35,female,false,Sinhala,Buddhism,2000-4000,Kandy,61
20-25,female,true,Muslim,Islam,2000-4000,Kurunegala,65
30-35,female,false,Sinhala,Buddhism,2000-4000,Kurunegala,57
25-30,female,false,Sinhala,Catholic,0-2000,Kurunegala,32
30-35,female,true,Tamil,Hindu,0-2000,Kalutara,38
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,21
20-25,male,false,Sinhala,Catholic,0-2000,Kalutara,12
20-25,female,true,Muslim,Islam,2000-4000,Kandy,68
30-35,female,false,Tamil,Hindu,2000-4000,Colombo,58
25-30,female,false,Tamil,Hindu,0-2000,Colombo,21
20-25,male,false,Tamil,Hindu,0-2000,Colombo,19
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,28
30-35,female,true,Muslim,Islam,2000-4000,Colombo,69
20-25,male,false,Tamil,Catholic,0-2000,Colombo,14
25-30,female,true,Tamil,Hindu,0-2000,Colombo,29
30-35,female,false,Sinhala,Buddhism,2000-4000,Colombo,62
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,26
25-30,male,true,Tamil,Catholic,0-2000,Kandy,6
20-25,male,false,Sinhala,Buddhism,0-2000,Kurunegala,19
30-35,female,true,Muslim,Islam,2000-4000,Gampaha,71
30-35,female,false,Tamil,Hindu,2000-4000,Colombo,60
25-30,female,true,Muslim,Islam,2000-4000,Kandy,71
20-25,female,true,Sinhala,Buddhism,0-2000,Kurunegala,30
20-25,male,false,Sinhala,Catholic,0-2000,Kurunegala,13
30-35,male,false,Sinhala,Buddhism,2000-4000,Kurunegala,51
25-30,female,true,Sinhala,Buddhism,0-2000,Gampaha,33
30-35,female,true,Muslim,Islam,2000-4000,Kalutara,71
20-25,female,true,Sinhala,Buddhism,0-2000,Colombo,27
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,8
30-35,female,true,Muslim,Islam,2000-4000,Kurunegala,64
20-25,female,true,Sinhala,Catholic,0-2000,Kalutara,26
30-35,female,true,Tamil,Hindu,0-2000,Kalutara,37
30-35,male,true,Sinhala,Buddhism,0-2000,Kurunegala,47
30-35,female,false,Muslim,Islam,2000-4000,Kalutara,65
25-30,female,true,Tamil,Hindu,0-2000,Kurunegala,29
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,17
25-30,male,false,Tamil,Hindu,0-2000,Kalutara,4
20-25,female,true,Muslim,Islam,2000-4000,Gampaha,65
30-35,female,false,Sinhala,Buddhism,2000-4000,Colombo,58
30-35,male,true,Sinhala,Buddhism,0-2000,Kurunegala,48
20-25,male,false,Tamil,Hindu,0-2000,Colombo,9
30-35,female,true,Sinhala,Buddhism,2000-4000,Kalutara,57
25-30,female,false,Sinhala,Buddhism,0-2000,Gampaha,39
20-25,male,false,Sinhala,Catholic,0-2000,Kurunegala,14
20-25,male,false,Tamil,Catholic,0-2000,Kalutara,14
30-35,female,false,Sinhala,Buddhism,2000-4000,Gampaha,54
30-35,female,true,Muslim,Islam,2000-4000,Kurunegala,72
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,29
25-30,male,true,Tamil,Hindu,2000-4000,Gampaha,43
20-25,female,true,Sinhala,Buddhism,0-2000,Gampaha,30
20-25,female,false,Sinhala,Buddhism,0-2000,Kandy,29
20-25,female,true,Sinhala,Buddhism,0-2000,Colombo,22
25-30,female,false,Tamil,Hindu,0-2000,Kandy,21
30-35,female,true,Tamil,Hindu,0-2000,Kandy,38
30-35,male,false,Muslim,Islam,0-2000,Gampaha,50
30-35,female,false,Tamil,Hindu,0-2000,Colombo,37
20-25,male,true,Sinhala,Buddhism,0-2000,Gampaha,13
30-35,female,true,Sinhala,Buddhism,2000-4000,Gampaha,55
20-25,female,true,Sinhala,Buddhism,0-2000,Kurunegala,25
30-35,female,true,Muslim,Islam,2000-4000,Gampaha,70
20-25,male,false,Tamil,Catholic,0-2000,Kurunegala,6
30-35,male,true,Sinhala,Buddhism,0-2000,Gampaha,48
20-25,male,false,Tamil,Hindu,0-2000,Kandy,11
30-35,male,false,Sinhala,Buddhism,0-2000,Kandy,50
30-35,female,true,Muslim,Islam,2000-4000,Colombo,69
20-25,male,true,Tamil,Catholic,0-2000,Gampaha,19
20-25,male,false,Tamil,Hindu,0-2000,Colombo,9
20-25,male,false,Tamil,Catholic,0-2000,Gampaha,19
30-35,male,true,Sinhala,Buddhism,2000-4000,Kandy,42
20-25,male,false,Tamil,Hindu,0-2000,Kalutara,20
20-25,male,false,Tamil,Catholic,0-2000,Gampaha,14
30-35,female,true,Muslim,Islam,2000-4000,Kurunegala,64
25-30,male,true,Tamil,Catholic,0-2000,Kandy,7
30-35,female,true,Tamil,Hindu,2000-4000,Kalutara,60
30-35,female,false,Tamil,Hindu,2000-4000,Kandy,60
20-25,male,true,Sinhala,Catholic,0-2000,Kurunegala,16
30-35,female,false,Sinhala,Buddhism,2000-4000,Colombo,61
25-30,female,false,Sinhala,Buddhism,0-2000,Kandy,33
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,14
20-25,male,false,Tamil,Hindu,0-2000,Kalutara,17
20-25,female,false,Sinhala,Buddhism,0-2000,Kalutara,22
30-35,female,true,Tamil,Hindu,0-2000,Kurunegala,39
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,5
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,11
25-30,male,true,Tamil,Hindu,2000-4000,Kurunegala,44
25-30,female,false,Sinhala,Buddhism,2000-4000,Kurunegala,63
20-25,male,false,Tamil,Hindu,0-2000,Kurunegala,12
25-30,male,false,Tamil,Hindu,0-2000,Colombo,11
25-30,female,true,Tamil,Hindu,0-2000,Colombo,26
20-25,male,false,Tamil,Hindu,0-2000,Kalutara,2
20-25,male,false,Sinhala,Buddhism,0-2000,Gampaha,9
30-35,female,false,Muslim,Islam,2000-4000,Gampaha,65
25-30,female,false,Sinhala,Buddhism,0-2000,Kurunegala,37
30-35,female,true,Tamil,Hindu,2000-4000,Kandy,57
